video_id,publishedAt,title,description,tags,duration,viewCount,likeCount,favoriteCount,commentCount
l-juemcpxP8,2023-11-30T11:00:44Z,🔥Perfect #ATEEZ #SAN #JONGHO energy🤩 #에이티즈#산#종호 #LE_SSERAFIM#르세라핌#HONGEUNCHAE #Perfect_Night#shorts,,,PT36S,591019,76901,0,337
5R-SEvm7AUk,2023-11-30T07:10:00Z,Adorable Euncherry🍒 #LE_SSERAFIM #르세라핌 #HONGEUNCHAE #홍은채 #Perfect_Night #shorts,,,PT41S,1077897,142723,0,921
cI29jLDQhBw,2023-11-30T07:00:13Z,Cutiepie MANCHAE💗 #LE_SSERAFIM #르세라핌 #HONGEUNCHAE #홍은채 #Perfect_Night #shorts,,,PT39S,319544,50358,0,317
uwGHVJyrG_U,2023-11-29T12:00:51Z,르세라핌이 심심하면 생기는 일 : 예능 한 편 뚝딱🎥 #LE_SSERAFIM #르세라핌 #LENIVERSE #shorts,,,PT39S,104309,15515,0,131
M-a-F1qgp8M,2023-11-29T10:59:59Z,[LENIVERSE] EP.35 웰컴 투 핌하우스 1편,"#르세라핌 #르니버스 #EP35

#LE_SSERAFIM #르세라핌 공식 채널
#LE_SSERAFIM #르세라핌 OFFICIAL CHANNEL

OFFICIAL INSTAGRAM https://www.instagram.com/le_sserafim/
OFFICIAL TWITTER https://twitter.com/le_sserafim
OFFICIAL JAPAN TWITTER https://twitter.com/le_sserafim_jp
OFFICIAL FACEBOOK https://www.facebook.com/official.lesserafim/
OFFICIAL WEVERSE https://weverse.onelink.me/qt3S/t2ra8uwj
OFFICIAL TIKTOK https://www.tiktok.com/@le_sserafim
OFFICIAL WEIBO https://weibo.com/LESSERAFIM
OFFICIAL BILIBILI https://space.bilibili.com/627577002
OFFICIAL DOUYIN https://v.douyin.com/iJgLJpUp/
OFFICIAL SOUNDCLOUD https://soundcloud.com/le_sserafim_official","['LE SSERAFIM', '르세라핌', '김채원', '사쿠라', '허윤진', '카즈하', '홍은채', 'KPOP', '아이돌', '걸그룹', '4세대', 'Idol', '하이브', 'hybe', '케이팝', '댄스', 'dance', '음악', '노래', 'music', 'KIMCHAEWON', 'SAKURA', 'HUHYUNJIN', 'KAZUHA', 'HONGEUNCHAE', '르세라핌 김채원', '르세라핌 사쿠라', '르세라핌 허윤진', '르세라핌 카즈하', '르세라핌 홍은채', 'LE SSERAFIM KIMCHAEWON', 'LE SSERAFIM SAKURA', 'LE SSERAFIM HUHYUNJIN', 'LE SSERAFIM KAZUHA', 'LE SSERAFIM HONGEUNCHAE', 'ルセラフィム', 'キム・チェウォン', 'サクラ', 'ホ・ユンジン', 'カズハ', 'ホン・ウンチェ', '예능', '어드벤처', '자체 컨텐츠', '자컨', 'game', 'adventure', '도전', '미션', 'challenge', '게임', 'mission']",PT25M5S,324251,19540,0,664
JpmY8kAfij4,2023-11-27T12:00:28Z,❄️Perfect #ZEROBASEONE #SEOKMATTHEW #PARKGUNWOOK energy🌨️#LE_SSERAFIM#르세라핌#HONGEUNCHAE#Perfect_Night,,,PT37S,1328765,102053,0,321
LEaIdDT_7UM,2023-11-25T12:02:04Z,[LE▶️PLAY] 📹Perfect VJ 즈하 | 💥일일 VJ 즈하의 밀착 취재 현장👀,"#LE_SSERAFIM #르세라핌 공식 채널
#LE_SSERAFIM #르세라핌 OFFICIAL CHANNEL

OFFICIAL INSTAGRAM https://www.instagram.com/le_sserafim/
OFFICIAL TWITTER https://twitter.com/le_sserafim
OFFICIAL JAPAN TWITTER https://twitter.com/le_sserafim_jp
OFFICIAL FACEBOOK https://www.facebook.com/official.lesserafim/
OFFICIAL WEVERSE https://weverse.onelink.me/qt3S/t2ra8uwj
OFFICIAL TIKTOK https://www.tiktok.com/@le_sserafim
OFFICIAL WEIBO https://weibo.com/LESSERAFIM
OFFICIAL BILIBILI https://space.bilibili.com/627577002
OFFICIAL DOUYIN https://v.douyin.com/iJgLJpUp/
OFFICIAL SOUNDCLOUD https://soundcloud.com/le_sserafim_official","['LE SSERAFIM', '르세라핌', '김채원', '사쿠라', '허윤진', '카즈하', '홍은채', 'KPOP', '아이돌', '걸그룹', '4세대', 'Idol', '하이브', 'hybe', '케이팝', '댄스', 'dance', '음악', '노래', 'music', 'KIMCHAEWON', 'SAKURA', 'HUHYUNJIN', 'KAZUHA', 'HONGEUNCHAE', '르세라핌 김채원', '르세라핌 사쿠라', '르세라핌 허윤진', '르세라핌 카즈하', '르세라핌 홍은채', 'LE SSERAFIM KIMCHAEWON', 'LE SSERAFIM SAKURA', 'LE SSERAFIM HUHYUNJIN', 'LE SSERAFIM KAZUHA', 'LE SSERAFIM HONGEUNCHAE', 'ルセラフィム', 'キム・チェウォン', 'サクラ', 'ホ・ユンジン', 'カズハ', 'ホン・ウンチェ', '현장', '셀프캠', 'selfcam', '비하인드', 'behind', '뮤직비디오', '자켓', '리액션', 'reaction', '광고', '잡지', '매거진', 'magazine', '트레일러', '촬영', 'trailer']",PT1M43S,119805,10480,0,354
CBJ1JFx15s4,2023-11-23T14:59:59Z,[PREVIEW] LE SSERAFIM 2024 SEASON'S GREETINGS SPOT #2,"🗓️ PRE-ORDER : 2023.11.24. 11AM (KST)
🗓️ RELEASE : 2023.12.20. (KST)
#SEASONSGREETINGS #시즌그리팅

#LE_SSERAFIM #르세라핌 공식 채널
#LE_SSERAFIM #르세라핌 OFFICIAL CHANNEL

OFFICIAL INSTAGRAM https://www.instagram.com/le_sserafim/
OFFICIAL TWITTER https://twitter.com/le_sserafim
OFFICIAL JAPAN TWITTER https://twitter.com/le_sserafim_jp
OFFICIAL FACEBOOK https://www.facebook.com/official.lesserafim/
OFFICIAL WEVERSE https://weverse.onelink.me/qt3S/t2ra8uwj
OFFICIAL TIKTOK https://www.tiktok.com/@le_sserafim
OFFICIAL WEIBO https://weibo.com/LESSERAFIM
OFFICIAL BILIBILI https://space.bilibili.com/627577002
OFFICIAL DOUYIN https://v.douyin.com/iJgLJpUp/
OFFICIAL SOUNDCLOUD https://soundcloud.com/le_sserafim_official","['LE SSERAFIM', '르세라핌', '김채원', '사쿠라', '허윤진', '카즈하', '홍은채', 'KPOP', '아이돌', '걸그룹', '4세대', 'Idol', '하이브', 'hybe', '케이팝', '댄스', 'dance', '음악', '노래', 'music', 'KIMCHAEWON', 'SAKURA', 'HUHYUNJIN', 'KAZUHA', 'HONGEUNCHAE', '르세라핌 김채원', '르세라핌 사쿠라', '르세라핌 허윤진', '르세라핌 카즈하', '르세라핌 홍은채', 'LE SSERAFIM KIMCHAEWON', 'LE SSERAFIM SAKURA', 'LE SSERAFIM HUHYUNJIN', 'LE SSERAFIM KAZUHA', 'LE SSERAFIM HONGEUNCHAE', 'ルセラフィム', 'キム・チェウォン', 'サクラ', 'ホ・ユンジン', 'カズハ', 'ホン・ウンチェ']",PT1M30S,164416,14611,0,336
SkUJiAI5J9o,2023-11-23T08:30:13Z,🧸Cozy Holiday Vibes🐇 #LE_SSERAFIM #르세라핌#Perfect_Night #shorts,,,PT19S,627364,75690,0,431
aUqx4aIrH-o,2023-11-23T08:00:01Z,🎈Perfect Holiday💝 #LE_SSERAFIM #르세라핌 #Perfect_Night #shorts,,,PT31S,288445,43413,0,267
